abalone,1000
abbacchio,1001
à blanc,1002
absinthe,1003
Ac'cent,1004
acerola,1005
Acesulfame-K,1006
acetic acid,1007
aceto,1008
achar,1009
achee,1010
achiote seed,1011
acidopholous milk,1012
acids,1013
acidulated water,1014
acini di peppe,1015
acitr坦n,1016
ackee; akee; achee,1017
acorn,1018
acorn squash,1019
active dry yeast,1020
"additives, food",1021
ade,1022
adjust,1023
adobo,1024
adobo sauce,1025
ado gado; gado-gado,1026
advocaat,1027
adzuki bean; azuki bean,1028
aemono,1029
aerate,1030
agar; agar-agar,1031
agave,1032
age; aged,1033
agedashi,1034
agemono,1035
aglio e olio,1036
agneau,1037
agnolotti,1038
aguacate,1039
ahi,1040
aigre-doux,1041
a誰oli,1042
ajijsuke-nori,1043
aji-no-moto,1044
ajowan; ajwain,1045
akala,1046
akee,1047
aku,1048
akule,1049
akvavit,1050
al,1051
à la,1052
à la carte,1053
à la king,1054
à la mode,1055
Alaska cod,1056
Alaska king crab,1057
albacore,1058
Albert sauce,1059
alb坦ndiga,1060
albumen,1061
albumin,1062
alcohol,1063
al dente,1064
ale,1065
alecost,1066
alewife,1067
alfalfa,1068
al forno,1069
Alfredo sauce,1070
alginic acid; algin,1071
Alitame,1072
alkali,1073
alkanet,1074
alla,1075
allemande sauce,1076
alligator,1077
alligator pear,1078
all-purpose flour,1079
allspice,1080
allumettes,1081
almond,1082
almond extract,1083
almond oil,1084
almond paste,1085
"alsacienne, à l'",1086
Alsatian wines,1087
alum,1088
aluminum cookware,1089
aluminum foil,1090
amandine,1091
amaranth,1092
amaretti,1093
amaretto,1094
amazu shoga,1095
amberjack,1096
ambrosia,1097
amchoor; amchor; amchur,1098
amchur,1099
"américaine, à l'",1100
"American cheese, processed",1101
ammonium bicarbonate,1102
amontillado,1103
anadama bread,1104
Anaheim chile,1105
ananas,1106
anasazi beans,1107
ancho chile,1108
anchoiade; anchoyade,1109
anchovy,1110
anchovy paste,1111
"ancienne, à l'",1112
"andalouse, à l'",1113
andouille sausage,1114
andouillette sausage,1115
anelli; anellini,1116
anesone,1117
angel food cake,1118
angel hair pasta,1119
angelica,1120
angels on horseback,1121
"anglaise, à l'",1122
angler fish,1123
angostura bitters,1124
animal fat,1125
anise,1126
anise seed; aniseed,1127
anisette,1128
Anjou pear,1129
Anna potatoes,1130
annatto,1131
antelope,1132
antioxidants,1133
antipasto,1134
antojitos,1135
apee,1136
ap辿ritif,1137
aphrodisiac,1138
à point,1139
appellation,1140
Appenzeller cheese; Appenzell cheese,1141
appetizer,1142
apple,1143
apple brown betty,1144
apple butter,1145
apple corer,1146
apple dumpling,1147
applejack,1148
apple pandowdy,1149
apple pear,1150
applesauce,1151
apple snow,1152
apricot,1153
Apry,1154
A.Q.,1155
aquaculture,1156
aquavit,1157
aqua vitae,1158
arak,1159
aram sandwich,1160
Arborio rice,1161
arctic bonito,1162
arctic char,1163
"Argenteuil, à l'",1164
Armagnac,1165
Armenian cracker bread,1166
aromatic,1167
aromatic rice,1168
arrack,1169
arrowroot,1170
arroz,1171
arroz con leche,1172
arroz con pollo,1173
artichoke,1174
artificial sweeteners,1175
arugula,1176
asadero cheese,1177
asafetida; asafoetida,1178
ascorbic acid,1179
aseptic packaging,1180
Asiago cheese,1181
Asian noodles,1182
Asian pear,1183
asparagus,1184
asparagus bean,1185
aspartame,1186
aspic,1187
assaisonn辿,1188
Assam tea,1189
Asti Spumante,1190
atemoya,1191
Atlantic croaker,1192
Atlantic oyster,1193
atole,1194
aubergine,1195
au bleu,1196
au gratin,1197
au jus,1198
au lait,1199
au naturel,1200
aurore sauce,1201
Auslese,1202
avgolemono,1203
avocadito,1204
avocado,1205
awabi,1206
azuki bean,1207
B & B,1208
baba,1209
bab叩co,1210
baba ghanoush; baba gannoujh,1211
babka,1212
baby corn,1213
bacalao,1214
baccalà,1215
back bacon,1216
back of the house,1217
bacon,1218
bagel,1219
bagna cauda,1220
bagoong,1221
baguette,1222
baguette pan,1223
bahmi goreng,1224
bainiku,1225
bain-marie,1226
bake,1227
bake-apple berry,1228
bake blind,1229
baked Alaska,1230
baker's peel,1231
"baking ammonia, powdered",1232
baking powder,1233
baking sheet,1234
baking soda,1235
baking stone,1236
baklava,1237
balachan; blachan,1238
Baldwin apple,1239
ballotine; ballottine,1240
balm,1241
balsamella,1242
balsamic vinegar,1243
balsam pear,1244
Balthazar,1245
bamboo shoot,1246
banana,1247
banana chile,1248
bananas Foster,1249
banana split,1250
Banbury cake,1251
banger,1252
banneton,1253
bannock,1254
banon; le banon,1255
bap,1256
bar,1257
barack,1258
Barbados cherry,1259
Barbados sugar,1260
barbecue; barbeque,1261
barbecue sauce,1262
